x,No intervention,Indirect_entropy,g_degree,hg_degree,Uniform,g_pr,Direct_entropy
1,0.0010000000000000005,0.0010000000000000005,0.0010000000000000005,0.0010000000000000005,0.0010000000000000005,0.0010000000000000005,0.0010000000000000005
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0010000000000000005,0.0010000000000000005,0.0010000000000000005,0.0010000000000000005,0.0010000000000000005,0.0010000000000000005,0.0010000000000000005
44,0.0011000000000000003,0.0011500000000000006,0.0009500000000000005,0.0011000000000000003,0.0010500000000000002,0.0010000000000000005,0.0012000000000000003
45,0.0034000000000000002,0.004650000000000001,0.004850000000000002,0.0011000000000000007,0.0036500000000000013,0.004650000000000001,0.0031000000000000003
46,0.01225,0.013700000000000004,0.015000000000000005,0.0012000000000000003,0.012100000000000003,0.014900000000000005,0.009699999999999999
47,0.027750000000000004,0.03215000000000001,0.037000000000000005,0.0022000000000000006,0.03330000000000001,0.031750000000000014,0.02275
48,0.04975,0.06140000000000001,0.07189999999999999,0.0034500000000000004,0.0639,0.06385000000000002,0.045450000000000004
49,0.06475,0.0839,0.09874999999999998,0.0048000000000000004,0.08395,0.0941,0.0656
50,0.0691,0.08705000000000002,0.10434999999999998,0.005050000000000001,0.08904999999999999,0.09925000000000002,0.07045
51,0.15305000000000002,0.18144999999999997,0.19365000000000002,0.0115,0.19775,0.18884999999999996,0.13785
52,0.28245,0.30815000000000003,0.3032,0.02325,0.32625000000000004,0.3041,0.23010000000000003
53,0.41275000000000006,0.42515000000000003,0.39479999999999993,0.04154999999999999,0.41805000000000003,0.4128000000000001,0.32114999999999994
54,0.49400000000000005,0.48585,0.457,0.059699999999999975,0.4596,0.48199999999999993,0.39455000000000007
55,0.50265,0.47920000000000007,0.4526,0.06489999999999997,0.44699999999999995,0.4796499999999999,0.39899999999999997
56,0.47915,0.45525000000000004,0.42695,0.06269999999999998,0.41980000000000006,0.4524,0.3773000000000001
57,0.61905,0.5449500000000002,0.5058,0.08919999999999997,0.5037499999999999,0.5357000000000001,0.4518
58,0.6936000000000002,0.5747,0.5377000000000001,0.10294999999999999,0.5281,0.5640499999999999,0.4931
59,0.7369000000000001,0.5944,0.5616000000000001,0.11149999999999997,0.5361,0.5887999999999999,0.5229
60,0.7331000000000001,0.5908499999999999,0.5603999999999999,0.1139,0.5318,0.5910499999999997,0.5265
61,0.69545,0.5601,0.52895,0.11025,0.5017499999999999,0.5636,0.5026999999999999
62,0.64595,0.5228000000000002,0.49335000000000007,0.10239999999999998,0.4679000000000001,0.5260499999999999,0.46654999999999996
63,0.733,0.5781499999999999,0.5334000000000001,0.11344999999999998,0.5284000000000001,0.5724,0.5082499999999999
64,0.75155,0.5939999999999999,0.5519999999999999,0.11669999999999998,0.5429499999999999,0.5829500000000001,0.5245499999999998
65,0.7597999999999999,0.5966000000000001,0.5592499999999998,0.11694999999999997,0.54645,0.58935,0.5327499999999998
66,0.7518,0.5940499999999999,0.55995,0.1172,0.5361499999999999,0.5911,0.5302999999999999
67,0.712,0.5633000000000001,0.5321999999999998,0.1121,0.5082000000000001,0.5647,0.50875
68,0.6644499999999999,0.5283500000000001,0.49795,0.1055,0.4787,0.52925,0.4762500000000001
69,0.7320000000000002,0.5838499999999999,0.5410499999999999,0.11674999999999999,0.5324499999999999,0.5745,0.5167999999999999
70,0.75445,0.5942999999999998,0.5554499999999999,0.11849999999999998,0.5392000000000001,0.5884,0.5219
71,0.7635499999999998,0.6013499999999998,0.55955,0.11995,0.5441,0.5925,0.5295000000000001
72,0.7501499999999999,0.59165,0.5614999999999999,0.11879999999999998,0.5365499999999999,0.59275,0.5319
73,0.7137,0.5656,0.5382499999999999,0.11244999999999998,0.5064500000000001,0.569,0.51105
74,0.6691499999999999,0.5297000000000001,0.50495,0.10654999999999999,0.47730000000000006,0.535,0.47795
75,0.7440499999999999,0.58545,0.5490499999999999,0.11579999999999999,0.5340999999999999,0.57675,0.5200500000000001
76,0.7584500000000001,0.5971,0.5529,0.11935,0.5421,0.5861500000000001,0.52365
77,0.7604499999999998,0.5980000000000001,0.5624499999999999,0.1189,0.5457500000000001,0.5902499999999999,0.5337499999999998
78,0.7512,0.59475,0.5656500000000001,0.11829999999999999,0.53715,0.59085,0.5327500000000001
79,0.7142500000000002,0.57255,0.5437000000000001,0.11280000000000001,0.5086499999999999,0.5683,0.5097499999999999
80,0.66545,0.5318999999999999,0.5098500000000001,0.10485,0.4741500000000001,0.5343000000000001,0.47785
81,0.7381500000000001,0.58125,0.5455999999999999,0.1167,0.53155,0.5742,0.51555
82,0.7516499999999999,0.5886499999999999,0.5527500000000001,0.11784999999999998,0.53545,0.5822499999999999,0.5248999999999999
83,0.75645,0.5934999999999999,0.56175,0.11915,0.5395500000000001,0.59385,0.53105
84,0.7482,0.5889,0.5627,0.11844999999999999,0.5321,0.5936,0.53245
85,0.7093,0.5646500000000001,0.5419999999999999,0.1142,0.50215,0.5711999999999999,0.5138
86,0.6624,0.5334000000000001,0.5077999999999999,0.10740000000000001,0.47225,0.5373,0.48
87,0.7378,0.5807500000000001,0.5489999999999999,0.11644999999999998,0.5295,0.5797,0.5208999999999999
88,0.7560999999999999,0.5934499999999999,0.5615499999999999,0.118,0.5394499999999999,0.5926,0.52925
89,0.76545,0.60165,0.56785,0.1212,0.54335,0.599,0.5361499999999999
90,0.75525,0.5956499999999999,0.5626,0.11879999999999999,0.5377000000000001,0.5884999999999999,0.53535
91,0.7180500000000001,0.5659,0.53825,0.1131,0.5103,0.5624,0.51105
92,0.67225,0.5293,0.5048000000000001,0.10600000000000001,0.47680000000000006,0.5277499999999999,0.48100000000000004
93,0.7464,0.5845999999999999,0.5478499999999998,0.11474999999999999,0.5341500000000001,0.57385,0.5188999999999999
94,0.76745,0.5955999999999999,0.5594999999999999,0.11755,0.5414000000000001,0.5874999999999999,0.5309499999999998
95,0.7652000000000001,0.5923499999999999,0.5625499999999999,0.11894999999999997,0.5388999999999999,0.5915,0.52965
96,0.7550999999999999,0.5903999999999999,0.5618,0.1177,0.5363499999999999,0.593,0.5306
97,0.7116499999999999,0.5601999999999998,0.5368499999999999,0.1129,0.5074500000000001,0.56185,0.5095000000000001
98,0.6653999999999999,0.52305,0.50175,0.10469999999999999,0.4713,0.5288999999999999,0.47764999999999996
99,0.7432,0.57985,0.5442500000000001,0.11495,0.52805,0.5723500000000001,0.51715
100,0.7579,0.5912,0.5562499999999999,0.1173,0.5386,0.5825999999999999,0.5303999999999999
101,0.76155,0.5952499999999998,0.5644,0.11609999999999998,0.5425000000000001,0.5938999999999999,0.5322
102,0.7533000000000001,0.5938,0.5619500000000001,0.11600000000000002,0.534,0.59515,0.534
103,0.7144999999999999,0.5670000000000001,0.5380499999999999,0.11065,0.5092000000000001,0.5702999999999999,0.51635
104,0.6653000000000001,0.5324500000000001,0.5001,0.10264999999999999,0.4783999999999999,0.5333500000000001,0.48355000000000015
105,0.7380500000000001,0.58425,0.5460499999999999,0.11254999999999997,0.52995,0.57345,0.5223500000000001
106,0.75755,0.5931,0.5562,0.11655,0.5374999999999999,0.5869000000000002,0.5290999999999999
107,0.7593500000000001,0.5978,0.561,0.11784999999999998,0.5387,0.5911999999999998,0.5308499999999999
108,0.7502999999999999,0.5947500000000001,0.56565,0.11895,0.53305,0.59305,0.5347
109,0.7105499999999999,0.5668,0.5395999999999999,0.11280000000000001,0.5101,0.5666,0.5123499999999999
110,0.67155,0.5281,0.5081000000000001,0.10615000000000001,0.47750000000000015,0.53725,0.48555000000000004
111,0.7438499999999999,0.5859,0.5522,0.11595,0.5357,0.57995,0.5254
112,0.7639999999999999,0.5938499999999999,0.5638500000000001,0.11789999999999998,0.5416,0.58975,0.5338
