x,No intervention,hg_pr,g_degree,hg_degree,Uniform,g_pr,Indirect_entropy,Direct_entropy
1,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288
44,0.0017331022530329288,0.0034662045060658577,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.0034662045060658577,0.0017331022530329288,0.0017331022530329288
45,0.0034662045060658577,0.0034662045060658577,0.0034662045060658577,0.0034662045060658577,0.0017331022530329288,0.0034662045060658577,0.0017331022530329288,0.0034662045060658577
46,0.0034662045060658577,0.0034662045060658577,0.005199306759098787,0.0034662045060658577,0.0017331022530329288,0.0034662045060658577,0.0017331022530329288,0.005199306759098787
47,0.0034662045060658577,0.0034662045060658577,0.005199306759098787,0.0034662045060658577,0.0017331022530329288,0.0017331022530329288,0.0017331022530329288,0.005199306759098787
48,0.0034662045060658577,0.0034662045060658577,0.005199306759098787,0.005199306759098787,0.0,0.0017331022530329288,0.0017331022530329288,0.008665511265164644
49,0.006932409012131715,0.0034662045060658577,0.005199306759098787,0.005199306759098787,0.0,0.0017331022530329288,0.0017331022530329288,0.006932409012131715
50,0.01559792027729636,0.005199306759098787,0.019064124783362217,0.005199306759098787,0.0,0.0034662045060658577,0.0017331022530329288,0.008665511265164644
51,0.03986135181975736,0.005199306759098787,0.03466204506065858,0.005199306759098787,0.0,0.0034662045060658577,0.0017331022530329288,0.012131715771230503
52,0.0779896013864818,0.005199306759098787,0.043327556325823226,0.005199306759098787,0.0,0.0034662045060658577,0.0017331022530329288,0.01386481802426343
53,0.14558058925476602,0.005199306759098787,0.043327556325823226,0.005199306759098787,0.0,0.006932409012131715,0.0017331022530329288,0.012131715771230503
54,0.1854419410745234,0.005199306759098787,0.0415944540727903,0.005199306759098787,0.0,0.006932409012131715,0.0017331022530329288,0.01386481802426343
55,0.2651646447140381,0.006932409012131715,0.04852686308492201,0.005199306759098787,0.0,0.010398613518197574,0.0017331022530329288,0.01733102253032929
56,0.4020797227036395,0.006932409012131715,0.08145580589254767,0.005199306759098787,0.0,0.022530329289428077,0.0017331022530329288,0.03986135181975736
57,0.5147313691507799,0.008665511265164644,0.13344887348353554,0.005199306759098787,0.0,0.038128249566724434,0.0017331022530329288,0.06759098786828423
58,0.6048526863084922,0.012131715771230503,0.1733102253032929,0.005199306759098787,0.0,0.0415944540727903,0.0017331022530329288,0.1195840554592721
59,0.6845753899480069,0.012131715771230503,0.19410745233968804,0.005199306759098787,0.0,0.045060658578856154,0.0017331022530329288,0.16464471403812825
60,0.7192374350086655,0.012131715771230503,0.2045060658578856,0.005199306759098787,0.0,0.043327556325823226,0.0017331022530329288,0.19584055459272098
61,0.7590987868284229,0.012131715771230503,0.21663778162911612,0.005199306759098787,0.0,0.045060658578856154,0.0017331022530329288,0.2097053726169844
62,0.7868284228769498,0.012131715771230503,0.22357019064124783,0.005199306759098787,0.0,0.05199306759098787,0.0017331022530329288,0.22010398613518198
63,0.8076256499133448,0.012131715771230503,0.23570190641247835,0.005199306759098787,0.0,0.060658578856152515,0.0017331022530329288,0.23743500866551126
64,0.8336221837088388,0.012131715771230503,0.23743500866551126,0.005199306759098787,0.0,0.06412478336221837,0.0017331022530329288,0.24090121317157712
