x,infected,infected-25,infected-75,susceptible,susceptible-25,susceptible-75
106,0.875,0.87,0.882,0.125,0.118,0.13
107,0.876,0.87175,0.88525,0.124,0.11475,0.12825
108,0.867,0.86,0.87525,0.133,0.12475,0.14
109,0.825,0.818,0.832,0.175,0.168,0.182
110,0.7725,0.76475,0.78125,0.2275,0.21875,0.23525
111,0.871,0.865,0.878,0.129,0.122,0.135
112,0.877,0.86975,0.88325,0.123,0.11675,0.13025
113,0.881,0.87375,0.886,0.119,0.114,0.12625
114,0.871,0.863,0.876,0.129,0.124,0.137
115,0.826,0.81775,0.834,0.174,0.166,0.18225
116,0.7715000000000001,0.764,0.779,0.2285,0.221,0.236
117,0.866,0.859,0.8714999999999999,0.134,0.1285,0.141
118,0.8755,0.86875,0.882,0.1245,0.118,0.13125
119,0.877,0.871,0.88425,0.123,0.11575,0.129
120,0.867,0.86075,0.87225,0.133,0.12775,0.13925
121,0.825,0.817,0.8334999999999999,0.175,0.1665,0.183
122,0.7735000000000001,0.765,0.787,0.2265,0.213,0.235
123,0.862,0.855,0.86925,0.138,0.13075,0.145
124,0.8714999999999999,0.86475,0.87925,0.1285,0.12075,0.13525
125,0.881,0.87575,0.886,0.119,0.114,0.12425
126,0.87,0.86375,0.8765000000000001,0.13,0.1235,0.13625
127,0.828,0.819,0.837,0.172,0.163,0.181
128,0.7745,0.765,0.78225,0.2255,0.21775,0.235
129,0.871,0.86275,0.87825,0.129,0.12175,0.13725
130,0.879,0.872,0.88625,0.121,0.11375,0.128
131,0.878,0.872,0.883,0.122,0.117,0.128
132,0.871,0.865,0.878,0.129,0.122,0.135
133,0.826,0.8194999999999999,0.8332499999999999,0.174,0.16675,0.1805
134,0.776,0.76675,0.7835000000000001,0.224,0.2165,0.23325
135,0.8674999999999999,0.86,0.87525,0.1325,0.12475,0.14
136,0.872,0.865,0.87625,0.128,0.12375,0.135
137,0.8775,0.871,0.88425,0.1225,0.11575,0.129
138,0.868,0.864,0.874,0.132,0.126,0.136
139,0.829,0.821,0.8372499999999999,0.171,0.16275,0.179
140,0.777,0.76675,0.786,0.223,0.214,0.23325
141,0.8634999999999999,0.857,0.8714999999999999,0.1365,0.1285,0.143
142,0.8734999999999999,0.864,0.88125,0.1265,0.11875,0.136
143,0.8785000000000001,0.87175,0.885,0.1215,0.115,0.12825
144,0.867,0.86,0.876,0.133,0.124,0.14
145,0.826,0.82,0.8342499999999999,0.174,0.16575,0.18
146,0.777,0.765,0.784,0.223,0.216,0.235
147,0.868,0.861,0.875,0.132,0.125,0.139
148,0.8734999999999999,0.864,0.88,0.1265,0.12,0.136
149,0.8775,0.87075,0.88225,0.1225,0.11775,0.12925
150,0.8685,0.862,0.876,0.1315,0.124,0.138
151,0.8254999999999999,0.81675,0.8342499999999999,0.1745,0.16575,0.18325
152,0.774,0.7655000000000001,0.78325,0.226,0.21675,0.23450000000000001
153,0.8645,0.858,0.872,0.1355,0.128,0.142
154,0.876,0.866,0.881,0.124,0.119,0.134
155,0.8745,0.868,0.88325,0.1255,0.11675,0.132
156,0.8654999999999999,0.858,0.87225,0.1345,0.12775,0.142
157,0.8245,0.81475,0.8322499999999999,0.1755,0.16775,0.18525
158,0.771,0.765,0.781,0.229,0.219,0.235
159,0.866,0.859,0.87325,0.134,0.12675,0.141
160,0.871,0.866,0.878,0.129,0.122,0.134
161,0.876,0.869,0.882,0.124,0.118,0.131
162,0.863,0.855,0.873,0.137,0.127,0.145
163,0.823,0.81575,0.831,0.177,0.169,0.18425
164,0.773,0.765,0.782,0.227,0.218,0.235
165,0.869,0.862,0.876,0.131,0.124,0.138
166,0.879,0.869,0.88525,0.121,0.11475,0.131
167,0.881,0.873,0.885,0.119,0.115,0.127
168,0.869,0.86475,0.877,0.131,0.123,0.13525
169,0.825,0.818,0.836,0.175,0.164,0.182
170,0.773,0.76675,0.785,0.227,0.215,0.23325
171,0.869,0.85975,0.873,0.131,0.127,0.14025
172,0.872,0.86575,0.881,0.128,0.119,0.13425
173,0.879,0.874,0.886,0.121,0.114,0.126
174,0.868,0.86275,0.875,0.132,0.125,0.13725
175,0.824,0.81575,0.8332499999999999,0.176,0.16675,0.18425
176,0.7745,0.765,0.78625,0.2255,0.21375,0.235
177,0.865,0.856,0.872,0.135,0.128,0.144
178,0.8745,0.868,0.88025,0.1255,0.11975,0.132
179,0.881,0.87375,0.885,0.119,0.115,0.12625
180,0.8685,0.86275,0.87325,0.1315,0.12675,0.13725
181,0.827,0.8185,0.8342499999999999,0.173,0.16575,0.1815
182,0.778,0.76575,0.7855000000000001,0.222,0.2145,0.23425
183,0.8645,0.859,0.87125,0.1355,0.12875,0.141
184,0.873,0.866,0.88,0.127,0.12,0.134
185,0.876,0.87075,0.883,0.124,0.117,0.12925
186,0.8654999999999999,0.858,0.874,0.1345,0.126,0.142
