x,Direct,Indirect,direct-indirect
43,0.8111999999999997,0.16448749999999998,0.8259250000000004
44,0.7572499999999998,0.1560375,0.77275
45,0.8513874999999995,0.16717499999999996,0.8634124999999997
46,0.8617999999999997,0.17596250000000002,0.87105
47,0.8712499999999999,0.1831375,0.8762375
48,0.8575874999999996,0.18596249999999998,0.8650625
49,0.8120999999999998,0.1793125,0.8225000000000001
50,0.7532250000000003,0.169525,0.7686625000000002
51,0.8543874999999999,0.1785625,0.8647999999999996
52,0.8631499999999999,0.187875,0.871875
53,0.8659749999999997,0.19396249999999998,0.8753749999999998
54,0.8556874999999995,0.19753750000000003,0.8644999999999996
55,0.8101,0.19168749999999996,0.824975
56,0.7533624999999999,0.18191249999999998,0.7743624999999998
57,0.8520499999999999,0.19197500000000006,0.8678374999999999
58,0.8645624999999997,0.20047499999999996,0.8756999999999998
59,0.8753375000000003,0.2050625,0.8833000000000002
60,0.8615249999999998,0.2064875,0.8685999999999998
61,0.8116000000000001,0.19770000000000001,0.8246125000000003
62,0.7545874999999999,0.18763749999999996,0.7737625000000004
63,0.8544749999999997,0.19651249999999998,0.8689625
64,0.863875,0.20518750000000002,0.8724124999999996
65,0.8690624999999998,0.20978750000000002,0.878975
66,0.8585374999999995,0.2110625000000001,0.8688749999999998
67,0.81035,0.20266249999999997,0.8236375
68,0.7521749999999999,0.1927625,0.7723250000000005
69,0.8536125000000002,0.20078750000000004,0.8666499999999996
70,0.8623375,0.20990000000000003,0.8750874999999999
71,0.8697499999999992,0.21498750000000005,0.8796375
72,0.8593249999999996,0.21565000000000006,0.8691624999999998
73,0.8141124999999999,0.2077500000000001,0.8293374999999997
74,0.7595875,0.19696249999999998,0.7791125000000003
75,0.8582499999999994,0.20531250000000006,0.8703999999999997
76,0.8652500000000002,0.21343750000000003,0.8718
77,0.869925,0.2163625,0.8805125
78,0.8599249999999999,0.21700000000000003,0.868625
79,0.8121499999999999,0.20802499999999996,0.8254750000000002
80,0.7545750000000002,0.19697499999999996,0.7730125000000002
81,0.8507874999999997,0.20529999999999998,0.8648499999999999
82,0.8597624999999999,0.21103750000000004,0.8697124999999994
83,0.8669124999999998,0.2162,0.8773500000000002
84,0.8548249999999997,0.21711250000000004,0.8658624999999999
85,0.8095374999999997,0.20925000000000007,0.8227499999999999
86,0.7532,0.19824999999999998,0.7736625000000001
87,0.8524624999999997,0.20668750000000005,0.8662749999999996
88,0.8643749999999997,0.21433750000000001,0.8748875000000002
89,0.8727874999999999,0.21696250000000003,0.8822750000000001
90,0.8582624999999998,0.21607500000000002,0.8710875000000001
91,0.8123875,0.20642500000000003,0.8301000000000002
92,0.7571374999999999,0.19493749999999999,0.7773125000000001
93,0.8569875,0.20503750000000004,0.8676125000000001
94,0.8685374999999997,0.21400000000000002,0.8781125000000001
95,0.8688874999999999,0.21856250000000005,0.8770874999999998
96,0.8579749999999997,0.21876249999999997,0.8685499999999997
97,0.8096124999999998,0.2098625,0.8237750000000001
98,0.7514,0.199325,0.7732000000000004
99,0.8546374999999999,0.207125,0.8676874999999995
100,0.8652625000000003,0.21483750000000001,0.8720624999999999
101,0.8690125,0.21763750000000007,0.8780500000000006
102,0.8600749999999996,0.21939999999999998,0.8704000000000001
103,0.8148374999999998,0.21123750000000002,0.8293874999999999
104,0.7582000000000002,0.20037499999999997,0.7769375000000001
105,0.8550124999999993,0.2091625,0.8663874999999999
106,0.8631874999999996,0.21553750000000002,0.8757125000000003
107,0.8679999999999998,0.2193625,0.8776874999999998
108,0.8608374999999997,0.219775,0.8674874999999996
109,0.8149124999999999,0.2107125,0.8245625000000005
110,0.7581250000000002,0.1993375,0.7721250000000002
111,0.8595499999999998,0.207475,0.8711874999999996
112,0.866325,0.2155875,0.8768000000000002
113,0.8700374999999998,0.2194125,0.8802874999999999
114,0.8582625,0.22030000000000002,0.8700000000000003
115,0.8113875,0.21197500000000008,0.8258374999999999
116,0.7529,0.199625,0.7721750000000001
117,0.8510874999999993,0.20883749999999995,0.8650875000000002
118,0.8658999999999996,0.21612499999999998,0.8760124999999999
119,0.8681499999999996,0.2178,0.8773875000000004
120,0.8557124999999995,0.217825,0.8667624999999998
121,0.8108124999999999,0.20877499999999993,0.8254125
122,0.7547625000000002,0.19720000000000004,0.77505
123,0.8506625,0.2051,0.8630374999999997
124,0.8637124999999998,0.21347500000000003,0.8715249999999999
125,0.8709875,0.2178,0.8806750000000001
126,0.8620374999999998,0.21957500000000002,0.870325
127,0.8154375,0.21086250000000004,0.8273250000000003
128,0.7567375000000003,0.20022500000000001,0.7744250000000001
129,0.8595999999999997,0.20875,0.8707874999999998
130,0.8674124999999995,0.21593750000000003,0.8787625000000002
131,0.8684749999999998,0.21955,0.8774875000000002
132,0.8590249999999997,0.21965000000000004,0.8709750000000003
133,0.8132875,0.2103,0.8260999999999997
134,0.7559750000000002,0.19881249999999992,0.7756249999999999
135,0.8545999999999999,0.20798750000000005,0.8672124999999999
136,0.8611749999999996,0.21412499999999998,0.8715749999999998
137,0.8680999999999998,0.2178875,0.8771500000000001
138,0.8596999999999998,0.21877499999999994,0.8689874999999996
139,0.812025,0.21165000000000003,0.8290999999999998
140,0.7549250000000001,0.20065,0.7761750000000003
141,0.8496499999999999,0.20956249999999996,0.8641874999999996
142,0.8626250000000004,0.21568749999999998,0.8734375000000002
143,0.8693750000000003,0.2190625,0.8771875000000001
144,0.8578749999999997,0.21855000000000008,0.8669874999999998
145,0.8116000000000001,0.2093375,0.8264500000000001
146,0.7545000000000004,0.19818750000000002,0.7753625000000002
147,0.8527624999999993,0.20568750000000002,0.8669500000000001
148,0.8610625000000001,0.212525,0.8726125
149,0.86945,0.21595,0.8764124999999998
150,0.8571874999999999,0.214875,0.8683250000000002
151,0.8098249999999997,0.20681250000000007,0.8250500000000001
152,0.7546249999999997,0.19605,0.7735749999999999
153,0.8476374999999997,0.20454999999999995,0.8642375
154,0.8631374999999999,0.21169999999999994,0.8748999999999999
155,0.8672374999999993,0.21359999999999996,0.874475
156,0.8607874999999996,0.21368749999999997,0.8650249999999998
157,0.8140500000000003,0.20517499999999997,0.8245250000000001
158,0.7561375000000006,0.193575,0.7724375000000001
159,0.8546374999999999,0.2037875,0.8661874999999994
160,0.8644624999999999,0.21133750000000004,0.8714250000000001
161,0.867925,0.21511249999999998,0.8760999999999999
